minutes,object_id,timestamp,date,last,last_ts,max,sum,mean,count
15,6602,2019-04-01 19:00:00,2019-04,0.0,1554146085000,0.0,0.0,0.0,13
15,6602,2019-04-01 18:45:00,2019-04,0.0,1554145164000,0.98,0.98,0.07537999999999999,13
15,6602,2019-04-01 18:30:00,2019-04,0.0,1554144253000,1.95,2.93,0.22538000000000002,13
15,6602,2019-04-01 18:15:00,2019-04,0.0,1554143332000,1.95,1.95,0.1625,12
15,6602,2019-04-01 18:00:00,2019-04,0.0,1554142487000,0.0,0.0,0.0,13
15,6602,2019-04-01 17:45:00,2019-04,0.0,1554141566000,1.95,2.93,0.22538000000000002,13
15,6602,2019-04-01 17:30:00,2019-04,0.0,1554140654000,0.98,9.799999,0.75385,13
15,6602,2019-04-01 17:15:00,2019-04,1.95,1554139736000,1.95,13.7,1.14167,12
15,6602,2019-04-01 17:00:00,2019-04,0.98,1554138896000,2.93,22.449999,1.72692,13
15,6602,2019-04-01 16:45:00,2019-04,1.95,1554137975000,2.93,30.250003999999997,2.32692,13
15,6602,2019-04-01 16:30:00,2019-04,2.93,1554137055000,4.88,41.020004,3.15539,13
15,6602,2019-04-01 16:15:00,2019-04,2.93,1554136145000,2.93,35.16,2.93,12
15,6602,2019-04-01 16:00:00,2019-04,2.93,1554135294000,11.72,83.03001,6.38692,13
15,6602,2019-04-01 15:45:00,2019-04,9.77,1554134383000,11.72,137.7,10.592310000000001,13
15,6602,2019-04-01 15:30:00,2019-04,12.7,1554133462000,13.67,165.07997,12.69846,13
15,6602,2019-04-01 15:15:00,2019-04,12.7,1554132550000,14.65,163.09999,13.59167,12
15,6602,2019-04-01 15:00:00,2019-04,13.67,1554131698000,13.67,171.88998,13.22231,13
15,6602,2019-04-01 14:45:00,2019-04,12.7,1554130789000,13.67,163.12999,12.54846,13
15,6602,2019-04-01 14:30:00,2019-04,11.72,1554129870000,14.65,159.19,13.26583,12
15,6602,2019-04-01 14:15:00,2019-04,12.7,1554128950000,14.65,148.44998,13.49545,11
15,6602,2019-04-01 14:00:00,2019-04,13.67,1554128098000,14.65,167.96999,13.9975,12
15,6602,2019-04-01 13:45:00,2019-04,11.72,1554127050000,15.63,148.46,13.496360000000001,11
15,6602,2019-04-01 13:30:00,2019-04,12.7,1554126278000,14.65,169.94998,13.073080000000001,13
15,6602,2019-04-01 13:15:00,2019-04,13.67,1554125358000,16.6,193.35998999999998,14.87385,13
15,6602,2019-04-01 13:00:00,2019-04,16.6,1554124446000,18.55,186.53001,15.544170000000001,12
15,6602,2019-04-01 12:45:00,2019-04,13.67,1554123595000,16.6,188.49998,14.5,13
15,6602,2019-04-01 12:30:00,2019-04,16.6,1554122685000,16.6,212.89002999999997,16.376160000000002,13
15,6602,2019-04-01 12:15:00,2019-04,14.65,1554121765000,17.58,205.08998,15.77615,13
15,6602,2019-04-01 12:00:00,2019-04,16.6,1554120848000,17.58,207.06001,15.92769,13
15,6602,2019-04-01 11:45:00,2019-04,15.63,1554119937000,17.58,191.44002,15.95333,12
15,6602,2019-04-01 11:30:00,2019-04,16.6,1554119084000,16.6,199.24002,15.32616,13
15,6602,2019-04-01 11:15:00,2019-04,15.63,1554118176000,17.58,210.96002000000001,16.22769,13
15,6602,2019-04-01 11:00:00,2019-04,16.6,1554117255000,17.58,216.80002000000002,16.676920000000003,13
15,6602,2019-04-01 10:45:00,2019-04,15.63,1554116343000,15.63,184.62001,15.385,12
15,6602,2019-04-01 10:30:00,2019-04,14.65,1554115493000,16.6,197.29997,15.17692,13
15,6602,2019-04-01 10:15:00,2019-04,14.65,1554114583000,16.6,199.25996,15.327689999999999,13
15,6602,2019-04-01 10:00:00,2019-04,16.6,1554113663000,17.58,205.12003,15.77846,13
15,6602,2019-04-01 09:45:00,2019-04,15.63,1554112743000,16.6,201.22,15.47846,13
15,6602,2019-04-01 09:30:00,2019-04,15.63,1554111833000,16.6,182.64001000000002,15.22,12
15,6602,2019-04-01 09:15:00,2019-04,15.63,1554110981000,16.6,195.34,15.02615,13
15,6602,2019-04-01 09:00:00,2019-04,14.65,1554110072000,15.63,188.48998999999998,14.499229999999999,13
60,6602,2019-04-01 20:00:00,2019-04,0.0,1554152366000,1.95,3.91,0.07667,51
60,6602,2019-04-01 19:00:00,2019-04,0.0,1554148769000,1.95,3.91,0.07667,51
60,6602,2019-04-01 18:00:00,2019-04,0.0,1554145164000,1.95,5.86,0.1149,51
60,6602,2019-04-01 17:00:00,2019-04,0.0,1554141566000,2.93,48.879993,0.9584299999999999,51
60,6602,2019-04-01 16:00:00,2019-04,1.95,1554137975000,11.72,189.4599,3.7149,51
60,6602,2019-04-01 15:00:00,2019-04,9.77,1554134383000,14.65,637.7701400000001,12.5053,51
60,6602,2019-04-01 14:00:00,2019-04,12.7,1554130789000,14.65,638.7401,13.307089999999999,48
60,6602,2019-04-01 13:00:00,2019-04,11.72,1554127050000,18.55,698.3002299999999,14.251029999999998,49
60,6602,2019-04-01 12:00:00,2019-04,13.67,1554123595000,17.58,813.53986,15.645,52
60,6602,2019-04-01 11:00:00,2019-04,15.63,1554119937000,17.58,818.4401,16.04785,51
60,6602,2019-04-01 10:00:00,2019-04,15.63,1554116343000,17.58,786.3003,15.41765,51
60,6602,2019-04-01 09:00:00,2019-04,15.63,1554112743000,16.6,767.69006,15.05275,51
15,6602,2019-05-01 20:00:00,2019-05,0.0,1556741637000,2.93,32.23,2.6858299999999997,12
15,6602,2019-05-01 19:45:00,2019-05,2.93,1556740794000,2.93,38.09,2.93,13
15,6602,2019-05-01 19:30:00,2019-05,2.93,1556739874000,2.93,38.09,2.93,13
15,6602,2019-05-01 19:15:00,2019-05,2.93,1556738952000,3.91,39.07,3.0053799999999997,13
15,6602,2019-05-01 19:00:00,2019-05,4.88,1556738041000,4.88,38.09,3.17417,12
15,6602,2019-05-01 18:45:00,2019-05,2.93,1556737188000,3.91,40.050003000000004,3.0807700000000002,13
15,6602,2019-05-01 18:30:00,2019-05,2.93,1556736278000,3.91,39.07,3.0053799999999997,13
